PassengerId,Survived,Sex,Age,SibSp,Parch,Fare
1,False,male,22,1,0,"7,25"
2,True,female,38,1,0,"71,2833"
3,True,female,26,0,0,"7,925"
4,True,female,35,1,0,"53,1"
5,False,male,35,0,0,"8,05"
7,False,male,54,0,0,"51,8625"
8,False,male,2,3,1,"21,075"
9,True,female,27,0,2,"11,1333"
10,True,female,14,1,0,"30,0708"
12,True,female,58,0,0,"26,55"
13,False,male,20,0,0,"8,05"
15,False,female,14,0,0,"7,8542"
16,True,female,55,0,0,16
17,False,male,2,4,1,"29,125"
19,False,female,31,1,0,18
21,False,male,35,0,0,26
22,True,male,34,0,0,13
23,True,female,15,0,0,"8,0292"
11,True,female,4,1,1,"16,7"
25,False,female,8,3,1,"21,075"
26,True,female,38,1,5,"31,3875"
28,False,male,19,3,2,263
31,False,male,40,0,0,"27,7208"
34,False,male,66,0,0,"10,5"
35,False,male,28,1,0,"82,1708"
36,False,male,42,1,0,52
38,False,male,21,0,0,"8,05"
39,False,female,18,2,0,18
40,True,female,14,1,0,"11,2417"
41,False,female,40,1,0,"9,475"
42,False,female,27,1,0,21
44,True,female,3,1,2,"41,5792"
45,True,female,19,0,0,"7,8792"
50,False,female,18,1,0,"17,8"
51,False,male,7,4,1,"39,6875"
52,False,male,21,0,0,"7,8"
53,True,female,49,1,0,"76,7292"
54,True,female,29,1,0,26
55,False,male,65,0,1,"61,9792"
57,True,female,21,0,0,"10,5"
59,True,female,5,1,2,"27,75"
60,False,male,11,5,2,"46,9"
61,False,male,22,0,0,"7,2292"
62,True,female,38,0,0,80
63,False,male,45,1,0,"83,475"
64,False,male,4,3,2,"27,9"
67,True,female,29,0,0,"10,5"
68,False,male,19,0,0,"8,1583"
69,True,female,17,4,2,"7,925"
70,False,male,26,2,0,"8,6625"
71,False,male,32,0,0,"10,5"
72,False,female,16,5,2,"46,9"
73,False,male,21,0,0,"73,5"
74,False,male,26,1,0,"14,4542"
75,True,male,32,0,0,"56,4958"
76,False,male,25,0,0,"7,65"
80,True,female,30,0,0,"12,475"
81,False,male,22,0,0,9
82,True,male,29,0,0,"9,5"
84,False,male,28,0,0,"47,1"
85,True,female,17,0,0,"10,5"
86,True,female,33,3,0,"15,85"
87,False,male,16,1,3,"34,375"
89,True,female,23,3,2,263
90,False,male,24,0,0,"8,05"
91,False,male,29,0,0,"8,05"
92,False,male,20,0,0,"7,8542"
93,False,male,46,1,0,"61,175"
94,False,male,26,1,2,"20,575"
95,False,male,59,0,0,"7,25"
97,False,male,71,0,0,"34,6542"
98,True,male,23,0,1,"63,3583"
99,True,female,34,0,1,23
100,False,male,34,1,0,26
101,False,female,28,0,0,"7,8958"
103,False,male,21,0,1,"77,2875"
104,False,male,33,0,0,"8,6542"
105,False,male,37,2,0,"7,925"
106,False,male,28,0,0,"7,8958"
107,True,female,21,0,0,"7,65"
109,False,male,38,0,0,"7,8958"
111,False,male,47,0,0,52
113,False,male,22,0,0,"8,05"
114,False,female,20,1,0,"9,825"
115,False,female,17,0,0,"14,4583"
116,False,male,21,0,0,"7,925"
118,False,male,29,1,0,21
119,False,male,24,0,1,"247,5208"
120,False,female,2,4,2,"31,275"
121,False,male,21,2,0,"73,5"
125,False,male,54,0,1,"77,2875"
126,True,male,12,1,0,"11,2417"
128,True,male,24,0,0,"7,1417"
130,False,male,45,0,0,"6,975"
131,False,male,33,0,0,"7,8958"
132,False,male,20,0,0,"7,05"
133,False,female,47,1,0,"14,5"
134,True,female,29,1,0,26
135,False,male,25,0,0,13
136,False,male,23,0,0,"15,0458"
137,True,female,19,0,2,"26,2833"
138,False,male,37,1,0,"53,1"
139,False,male,16,0,0,"9,2167"
140,False,male,24,0,0,"79,2"
142,True,female,22,0,0,"7,75"
143,True,female,24,1,0,"15,85"
144,False,male,19,0,0,"6,75"
145,False,male,18,0,0,"11,5"
146,False,male,19,1,1,"36,75"
147,True,male,27,0,0,"7,7958"
148,False,female,9,2,2,"34,375"
150,False,male,42,0,0,13
151,False,male,51,0,0,"12,525"
152,True,female,22,1,0,"66,6"
156,False,male,51,0,1,"61,3792"
157,True,female,16,0,0,"7,7333"
158,False,male,30,0,0,"8,05"
161,False,male,44,0,1,"16,1"
162,True,female,40,0,0,"15,75"
163,False,male,26,0,0,"7,775"
164,False,male,17,0,0,"8,6625"
165,False,male,1,4,1,"39,6875"
166,True,male,9,0,2,"20,525"
168,False,female,45,1,4,"27,9"
170,False,male,28,0,0,"56,4958"
171,False,male,61,0,0,"33,5"
172,False,male,4,4,1,"29,125"
173,True,female,1,1,1,"11,1333"
174,False,male,21,0,0,"7,925"
175,False,male,56,0,0,"30,6958"
